00:24:32:680 CMD DBGM     - ---- Debug Monitor List of the 5900 registered Modules ----------
00:24:32:680 CMD DBGM     -  # Symbol   Release - Module Name                      Filter Ta
00:24:32:683 CMD DBGM     - 210 bu10063  0.00.00 - UpperCnvr.bu10063                000000 off
00:24:32:683 CMD DBGM     - 211 pl1021   0.00.00 - UpperCnvr.pl1021                 000000 off
00:24:32:683 CMD DBGM     - 212 bm1021   0.00.00 - UpperCnvr.bm1021                 000000 off
00:24:32:683 CMD DBGM     - 213 bu10064  0.00.00 - UpperCnvr.bu10064                000000 off
00:24:32:683 CMD DBGM     - 214 bu10065  0.00.00 - UpperCnvr.bu10065                000000 off
00:24:32:683 CMD DBGM     - 215 bu10066  0.00.00 - UpperCnvr.bu10066                000000 off
00:24:32:683 CMD DBGM     - 216 pl1022   0.00.00 - UpperCnvr.pl1022                 000000 off
00:24:32:683 CMD DBGM     - 217 bm1022   0.00.00 - UpperCnvr.bm1022                 000000 off
00:24:32:683 CMD DBGM     - 218 bu10067  0.00.00 - UpperCnvr.bu10067                000000 off
00:24:32:683 CMD DBGM     - 219 bu10068  0.00.00 - UpperCnvr.bu10068                000000 off
00:24:32:683 CMD DBGM     - 220 bu10069  0.00.00 - UpperCnvr.bu10069                000000 off
00:24:32:683 CMD DBGM     - 221 pl1023   0.00.00 - UpperCnvr.pl1023                 000000 off
00:24:32:683 CMD DBGM     - 222 bm1023   0.00.00 - UpperCnvr.bm1023                 000000 off
00:24:32:683 CMD DBGM     - 223 bu10070  0.00.00 - UpperCnvr.bu10070                000000 off
00:24:32:683 CMD DBGM     - 224 bu10071  0.00.00 - UpperCnvr.bu10071                000000 off
00:24:32:683 CMD DBGM     - 225 bu10072  0.00.00 - UpperCnvr.bu10072                000000 off
00:24:32:683 CMD DBGM     - 226 pl1024   0.00.00 - UpperCnvr.pl1024                 000000 off
00:24:32:683 CMD DBGM     - 227 bm1024   0.00.00 - UpperCnvr.bm1024                 000000 off
00:24:32:683 CMD DBGM     - 228 bu10073  0.00.00 - UpperCnvr.bu10073                000000 off
00:24:32:683 CMD DBGM     - 229 bu10074  0.00.00 - UpperCnvr.bu10074                000000 off
00:24:32:683 CMD DBGM     - 230 bu10075  0.00.00 - UpperCnvr.bu10075                000000 off
00:24:32:683 CMD DBGM     - 231 pl1025   0.00.00 - UpperCnvr.pl1025                 000000 off
00:24:32:683 CMD DBGM     - 232 bm1025   0.00.00 - UpperCnvr.bm1025                 000000 off
00:24:32:683 CMD DBGM     - 233 bu10076  0.00.00 - UpperCnvr.bu10076                000000 off
00:24:32:683 CMD DBGM     - 234 bu10077  0.00.00 - UpperCnvr.bu10077                000000 off
00:24:32:683 CMD DBGM     - 235 bu10078  0.00.00 - UpperCnvr.bu10078                000000 off
00:24:32:683 CMD DBGM     - 236 pl1026   0.00.00 - UpperCnvr.pl1026                 000000 off
00:24:32:683 CMD DBGM     - 237 bm1026   0.00.00 - UpperCnvr.bm1026                 000000 off
00:24:32:683 CMD DBGM     - 238 bu10079  0.00.00 - UpperCnvr.bu10079                000000 off
00:24:32:683 CMD DBGM     - 239 bu10080  0.00.00 - UpperCnvr.bu10080                000000 off
00:24:32:683 CMD DBGM     - 240 bu10081  0.00.00 - UpperCnvr.bu10081                000000 off
00:24:32:683 CMD DBGM     - 241 pl1027   0.00.00 - UpperCnvr.pl1027                 000000 off
00:24:32:683 CMD DBGM     - 242 bm1027   0.00.00 - UpperCnvr.bm1027                 000000 off
00:24:32:683 CMD DBGM     - 243 bu10082  0.00.00 - UpperCnvr.bu10082                000000 off
00:24:32:683 CMD DBGM     - 244 bu10083  0.00.00 - UpperCnvr.bu10083                000000 off
00:24:32:683 CMD DBGM     - 245 bu10084  0.00.00 - UpperCnvr.bu10084                000000 off
00:24:32:683 CMD DBGM     - 246 pl1028   0.00.00 - UpperCnvr.pl1028                 000000 off
00:24:32:683 CMD DBGM     - 247 bm1028   0.00.00 - UpperCnvr.bm1028                 000000 off
00:24:32:683 CMD DBGM     - 248 bu10085  0.00.00 - UpperCnvr.bu10085                000000 off
00:24:32:683 CMD DBGM     - 249 bu10086  0.00.00 - UpperCnvr.bu10086                000000 off
00:24:32:683 CMD DBGM     - 250 bu10087  0.00.00 - UpperCnvr.bu10087                000000 off
00:24:32:683 CMD DBGM     - 251 pl1029   0.00.00 - UpperCnvr.pl1029                 000000 off
00:24:32:683 CMD DBGM     - 252 bm1029   0.00.00 - UpperCnvr.bm1029                 000000 off
00:24:32:683 CMD DBGM     - 253 bu10088  0.00.00 - UpperCnvr.bu10088                000000 off
00:24:32:683 CMD DBGM     - 254 bu10089  0.00.00 - UpperCnvr.bu10089                000000 off
00:24:32:683 CMD DBGM     - 255 bu10090  0.00.00 - UpperCnvr.bu10090                000000 off
00:24:32:683 CMD DBGM     - 256 pl1030   0.00.00 - UpperCnvr.pl1030                 000000 off
00:24:32:683 CMD DBGM     - 257 bm1030   0.00.00 - UpperCnvr.bm1030                 000000 off
00:24:32:683 CMD DBGM     - 258 bu10091  0.00.00 - UpperCnvr.bu10091                000000 off
