03:56:47:102 CMD DBGM     - Commands Sent By Default To Module DBGM
03:56:47:103 CMD DBGM     - 167 AE_UF039 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF039       000000 off
03:56:47:103 CMD DBGM     - 168 DT_UF039 0.00.00 - ETACS_UR.AE_UF039.DT_UF039       000000 off
03:56:47:103 CMD DBGM     - 169 SD_UF039 0.00.00 - ETACS_UR.AE_UF039.SD_UF039       000000 off
03:56:47:103 CMD DBGM     - 170 AE_UF040 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF040       000000 off
03:56:47:103 CMD DBGM     - 171 DT_UF040 0.00.00 - ETACS_UR.AE_UF040.DT_UF040       000000 off
03:56:47:103 CMD DBGM     - 172 SD_UF040 0.00.00 - ETACS_UR.AE_UF040.SD_UF040       000000 off
03:56:47:103 CMD DBGM     - 173 AE_UF041 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF041       000000 off
03:56:47:103 CMD DBGM     - 174 DT_UF041 0.00.00 - ETACS_UR.AE_UF041.DT_UF041       000000 off
03:56:47:103 CMD DBGM     - 175 SD_UF041 0.00.00 - ETACS_UR.AE_UF041.SD_UF041       000000 off
03:56:47:103 CMD DBGM     - 176 AE_UF042 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF042       000000 off
03:56:47:103 CMD DBGM     - 177 DT_UF042 0.00.00 - ETACS_UR.AE_UF042.DT_UF042       000000 off
03:56:47:103 CMD DBGM     - 178 SD_UF042 0.00.00 - ETACS_UR.AE_UF042.SD_UF042       000000 off
03:56:47:103 CMD DBGM     - 179 AE_UF043 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF043       000000 off
03:56:47:103 CMD DBGM     - 180 DT_UF043 0.00.00 - ETACS_UR.AE_UF043.DT_UF043       000000 off
03:56:47:103 CMD DBGM     - 181 SD_UF043 0.00.00 - ETACS_UR.AE_UF043.SD_UF043       000000 off
03:56:47:103 CMD DBGM     - 182 AE_UF044 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF044       000000 off
03:56:47:103 CMD DBGM     - 183 DT_UF044 0.00.00 - ETACS_UR.AE_UF044.DT_UF044       000000 off
03:56:47:103 CMD DBGM     - 184 SD_UF044 0.00.00 - ETACS_UR.AE_UF044.SD_UF044       000000 off
03:56:47:103 CMD DBGM     - 185 AE_UF045 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF045       000000 off
03:56:47:103 CMD DBGM     - 186 DT_UF045 0.00.00 - ETACS_UR.AE_UF045.DT_UF045       000000 off
03:56:47:103 CMD DBGM     - 187 SD_UF045 0.00.00 - ETACS_UR.AE_UF045.SD_UF045       000000 off
03:56:47:103 CMD DBGM     - 188 AE_UF046 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF046       000000 off
03:56:47:103 CMD DBGM     - 189 DT_UF046 0.00.00 - ETACS_UR.AE_UF046.DT_UF046       000000 off
03:56:47:103 CMD DBGM     - 190 SD_UF046 0.00.00 - ETACS_UR.AE_UF046.SD_UF046       000000 off
03:56:47:103 CMD DBGM     - 191 AE_UF047 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF047       000000 off
03:56:47:103 CMD DBGM     - 192 DT_UF047 0.00.00 - ETACS_UR.AE_UF047.DT_UF047       000000 off
03:56:47:103 CMD DBGM     - 193 SD_UF047 0.00.00 - ETACS_UR.AE_UF047.SD_UF047       000000 off
03:56:47:103 CMD DBGM     - 194 AE_UF048 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF048       000000 off
03:56:47:103 CMD DBGM     - 195 DT_UF048 0.00.00 - ETACS_UR.AE_UF048.DT_UF048       000000 off
03:56:47:103 CMD DBGM     - 196 SD_UF048 0.00.00 - ETACS_UR.AE_UF048.SD_UF048       000000 off
03:56:47:103 CMD DBGM     - 197 AE_UF049 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF049       000000 off
03:56:47:103 CMD DBGM     - 198 DT_UF049 0.00.00 - ETACS_UR.AE_UF049.DT_UF049       000000 off
03:56:47:103 CMD DBGM     - 199 SD_UF049 0.00.00 - ETACS_UR.AE_UF049.SD_UF049       000000 off
03:56:47:103 CMD DBGM     - 200 AE_UF050 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF050       000000 off
03:56:47:103 CMD DBGM     - 201 DT_UF050 0.00.00 - ETACS_UR.AE_UF050.DT_UF050       000000 off
03:56:47:103 CMD DBGM     - 202 SD_UF050 0.00.00 - ETACS_UR.AE_UF050.SD_UF050       000000 off
03:56:47:103 CMD DBGM     - 203 AE_UF051 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF051       000000 off
03:56:47:103 CMD DBGM     - 204 DT_UF051 0.00.00 - ETACS_UR.AE_UF051.DT_UF051       000000 off
03:56:47:103 CMD DBGM     - 205 SD_UF051 0.00.00 - ETACS_UR.AE_UF051.SD_UF051       000000 off
03:56:47:103 CMD DBGM     - 206 AE_UF052 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF052       000000 off
03:56:47:103 CMD DBGM     - 207 DT_UF052 0.00.00 - ETACS_UR.AE_UF052.DT_UF052       000000 off
03:56:47:103 CMD DBGM     - 208 SD_UF052 0.00.00 - ETACS_UR.AE_UF052.SD_UF052       000000 off
03:56:47:103 CMD DBGM     - 209 AE_UF053 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF053       000000 off
03:56:47:103 CMD DBGM     - 210 DT_UF053 0.00.00 - ETACS_UR.AE_UF053.DT_UF053       000000 off
03:56:47:103 CMD DBGM     - 211 SD_UF053 0.00.00 - ETACS_UR.AE_UF053.SD_UF053       000000 off
03:56:47:103 CMD DBGM     - 212 AE_UF054 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF054       000000 off
03:56:47:103 CMD DBGM     - 213 DT_UF054 0.00.00 - ETACS_UR.AE_UF054.DT_UF054       000000 off
03:56:47:103 CMD DBGM     - 214 SD_UF054 0.00.00 - ETACS_UR.AE_UF054.SD_UF054       000000 off
03:56:47:103 CMD DBGM     - 215 AE_UF055 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF055       000000 off
03:56:47:103 CMD DBGM     - 216 DT_UF055 0.00.00 - ETACS_UR.AE_UF055.DT_UF055       000000 off
03:56:47:103 CMD DBGM     - 217 SD_UF055 0.00.00 - ETACS_UR.AE_UF055.SD_UF055       000000 off
03:56:47:103 CMD DBGM     - 218 AE_UF056 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF056       000000 off
03:56:47:103 CMD DBGM     - 219 DT_UF056 0.00.00 - ETACS_UR.AE_UF056.DT_UF056       000000 off
03:56:47:103 CMD DBGM     - 220 SD_UF056 0.00.00 - ETACS_UR.AE_UF056.SD_UF056       000000 off
03:56:47:103 CMD DBGM     - 221 AE_UF057 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF057       000000 off
03:56:47:103 CMD DBGM     - 222 DT_UF057 0.00.00 - ETACS_UR.AE_UF057.DT_UF057       000000 off
--- ClientDBGM --- st ICS ffffff
03:56:47:103 CMD DBGM     - 223 SD_UF057 0.00.00 - ETACS_UR.AE_UF057.SD_UF057       000000 off
03:56:47:103 CMD DBGM     - 224 AE_UF058 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF058       000000 off
03:56:47:103 CMD DBGM     - 225 DT_UF058 0.00.00 - ETACS_UR.AE_UF058.DT_UF058       000000 off
03:56:47:103 CMD DBGM     - 226 SD_UF058 0.00.00 - ETACS_UR.AE_UF058.SD_UF058       000000 off
03:56:47:103 CMD DBGM     - 227 AE_UF059 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF059       000000 off
03:56:47:-2147483648 CMD DBGM     - 228 DT_UF059 0.00.00 - ETACS_UR.AE_UF059.DT_UF059       000000 off
03:56:47:103 CMD DBGM     - 229 SD_UF059 0.00.00 - ETACS_UR.AE_UF059.SD_UF059       000000 off
